147103,Dota2,2016-04-12 19:05:00.000000,1.678,2.051,Fantastic Five,Prodota Gaming,GameResult,Prodota Cup,Map2,146896,win1
147104,Dota2,2016-04-12 19:05:00.000000,1.880,1.837,Fantastic Five,Prodota Gaming,First blood map 2,Prodota Cup,First blood map 2,146896,win1
147105,Dota2,2016-04-12 19:05:00.000000,1.829,1.888,Fantastic Five,Prodota Gaming,Kills10,Prodota Cup,Map2,146896,win1
147008,Counter-Strike,2016-04-12 17:22:00.000000,1.593,2.173,SK,CSGL,Total,Kinguin,NA,147008,draw
147009,Counter-Strike,2016-04-12 17:22:00.000000,1.607,2.151,SK,CSGL,GameResult,Kinguin,Map1,147008,draw
147010,Counter-Strike,2016-04-12 17:22:00.000000,1.720,2.000,SK,CSGL,will win 1st round on map 1,Kinguin,will win 1st round on map 1,147008,draw
147011,Counter-Strike,2016-04-12 17:22:00.000000,1.720,2.000,SK,CSGL,will win 16th round on map 1,Kinguin,will win 16th round on map 1,147008,draw
147012,Counter-Strike,2016-04-12 17:22:00.000000,1.860,1.860,SK,CSGL,Total maps Over 2.5,Kinguin,Total maps Under 2.5,147008,draw
146804,Counter-Strike,2016-04-12 16:38:00.000000,1.333,2.817,G2,CLG,Total,DreamHack,NA,146804,win2
146805,Counter-Strike,2016-04-12 16:30:00.000000,1.767,1.948,G2,CLG,will win 1st round,DreamHack,will win 1st round,146804,win2
146806,Counter-Strike,2016-04-12 17:02:00.000000,1.899,1.816,G2,CLG,will win 16th round,DreamHack,will win 16th round,146804,win2
147035,Counter-Strike,2016-04-12 16:30:00.000000,1.819,1.897,G2,CLG,Total rounds Over 26.5,DreamHack,Total rounds Under 26.5,146804,win2
146893,Dota2,2016-04-12 16:07:00.000000,1.645,2.096,Pries,E-LAB,Total,Prodota Cup,NA,146893,win1
146894,Dota2,2016-04-12 16:07:00.000000,1.680,2.049,Pries,E-LAB,First blood,Prodota Cup,First blood,146893,win1
146895,Dota2,2016-04-12 16:07:00.000000,1.599,2.164,Pries,E-LAB,will take first 10 kills,Prodota Cup,will take first 10 kills,146893,win1
146801,Counter-Strike,2016-04-12 15:01:00.000000,1.211,3.453,Natus Vincere,GODSENT,Total,DreamHack,NA,146801,win1
146802,Counter-Strike,2016-04-12 15:01:00.000000,1.625,2.124,Natus Vincere,GODSENT,will win 1st round,DreamHack,will win 1st round,146801,win1
146803,Counter-Strike,2016-04-12 15:32:00.000000,1.534,2.276,Natus Vincere,GODSENT,will win 16th round,DreamHack,will win 16th round,146801,win2
146798,Counter-Strike,2016-04-12 13:38:00.000000,1.832,1.884,Liquid,mousesports,Total,DreamHack,NA,146798,win2
146799,Counter-Strike,2016-04-12 13:38:00.000000,1.975,1.743,Liquid,mousesports,will win 1st round,DreamHack,will win 1st round,146798,win2
146800,Counter-Strike,2016-04-12 14:00:00.000000,1.699,2.025,Liquid,mousesports,will win 16th round,DreamHack,will win 16th round,146798,win2
147034,Counter-Strike,2016-04-12 13:38:00.000000,1.578,2.197,Liquid,mousesports,Total rounds Over 26.5,DreamHack,Total rounds Under 26.5,146798,win1
146880,Dota2,2016-04-12 13:05:00.000000,1.405,2.577,Fnatic,MVP Phoenix,Total,ESL Quali,NA,146880,win1
146881,Dota2,2016-04-12 13:06:00.000000,1.615,2.139,Fnatic,MVP Phoenix,GameResult,ESL Quali,Map1,146880,win1
146882,Dota2,2016-04-12 13:06:00.000000,1.759,1.957,Fnatic,MVP Phoenix,FB,ESL Quali,Map1,146880,win1
146883,Dota2,2016-04-12 13:06:00.000000,1.701,2.023,Fnatic,MVP Phoenix,Kills10,ESL Quali,Map1,146880,win2
