147581,Dota2,2016-04-14 14:22:00.000000,3.015,1.287,Alliance,Virtus.pro,Total kills over 50.5 on map 2,SL i-League,Total kills under 50.5 on map 2,147315,win1
147582,Dota2,2016-04-14 14:22:00.000000,2.076,1.659,Alliance,Virtus.pro,Total time over 40 minutes on map 2,SL i-League,Total time under 40 minutes on map 2,147315,win1
147517,Dota2,2016-04-14 12:07:00.000000,1.302,2.944,LGD (Live),Vega Squadron (Live),Total,SL i-L LIVE,NA,147517,win1
147518,Dota2,2016-04-14 11:20:00.000000,2.531,1.422,LGD (Live),Vega Squadron (Live),GameResult,SL i-L LIVE,Map1,147517,win1
147519,Dota2,2016-04-14 10:36:00.000000,1.846,1.873,LGD (Live),Vega Squadron (Live),FB,SL i-L LIVE,Map1,147517,win1
147541,Dota2,2016-04-14 12:43:00.000000,1.193,3.581,LGD (Live),Vega Squadron (Live),GameResult,SL i-L LIVE,Map2,147517,win1
147542,Dota2,2016-04-14 12:10:00.000000,1.842,1.876,LGD (Live),Vega Squadron (Live),FB,SL i-L LIVE,Map2,147517,win2
147343,Counter-Strike,2016-04-14 12:03:00.000000,1.047,5.597,Luminosity,TyLoo,Total,DreamHack,NA,147343,win2
147344,Counter-Strike,2016-04-14 12:03:00.000000,1.420,2.535,Luminosity,TyLoo,will win 1st round on map 1,DreamHack,will win 1st round on map 1,147343,win2
147345,Counter-Strike,2016-04-14 12:03:00.000000,1.143,4.040,Luminosity,TyLoo,GameResult,DreamHack,Map1,147343,win2
147346,Counter-Strike,2016-04-14 12:27:00.000000,1.439,2.486,Luminosity,TyLoo,will win 16th round on map 1,DreamHack,will win 16th round on map 1,147343,win1
147370,Counter-Strike,2016-04-14 12:03:00.000000,1.293,2.985,Luminosity,TyLoo,will win 5 rounds first on map 1,DreamHack,will win 5 rounds first on map 1,147343,win1
147371,Counter-Strike,2016-04-14 12:03:00.000000,1.400,2.592,Luminosity,TyLoo,Total rounds Over 24.5 on map 1,DreamHack,Total rounds Under 24.5 on map 1,147343,win1
147560,Counter-Strike,2016-04-14 13:11:00.000000,1.129,4.198,Luminosity,TyLoo,GameResult,DreamHack,Map2,147343,win1
147561,Counter-Strike,2016-04-14 13:11:00.000000,1.622,2.129,Luminosity,TyLoo,will win 1st round on map 2,DreamHack,will win 1st round on map 2,147343,win1
147562,Counter-Strike,2016-04-14 13:38:00.000000,1.479,2.390,Luminosity,TyLoo,will win 16th round on map 2,DreamHack,will win 16th round on map 2,147343,win2
147563,Counter-Strike,2016-04-14 13:11:00.000000,1.381,2.652,Luminosity,TyLoo,will win 5 rounds first on map 2,DreamHack,will win 5 rounds first on map 2,147343,win1
147564,Counter-Strike,2016-04-14 13:11:00.000000,2.152,1.607,Luminosity,TyLoo,Total rounds over 25.5 on map 2,DreamHack,Total rounds under 25.5 on map 2,147343,win2
147571,Counter-Strike,2016-04-14 14:10:00.000000,1.122,4.280,Luminosity,TyLoo,GameResult,DreamHack,Map3,147343,win2
147572,Counter-Strike,2016-04-14 14:10:00.000000,1.530,2.283,Luminosity,TyLoo,will win 1st round on map 3,DreamHack,will win 1st round on map 3,147343,win2
147573,Counter-Strike,2016-04-14 14:38:00.000000,1.625,2.125,Luminosity,TyLoo,will win 16th round on map 3,DreamHack,will win 16th round on map 3,147343,win1
147574,Counter-Strike,2016-04-14 14:10:00.000000,1.365,2.703,Luminosity,TyLoo,will win 5 rounds first on map 3,DreamHack,will win 5 rounds first on map 3,147343,win2
147575,Counter-Strike,2016-04-14 14:10:00.000000,1.969,1.747,Luminosity,TyLoo,Total rounds over 25.5 on map 3,DreamHack,Total rounds under 25.5 on map 3,147343,win1
147293,LoL,2016-04-14 11:06:00.000000,1.389,2.627,OMG,Energy Pacemaker.All,Total,LPL Promo,NA,147293,win1
147334,LoL,2016-04-14 11:06:00.000000,1.476,2.395,OMG,Energy Pacemaker.All,GameResult,LPL Promo,Map1,147293,win1
147335,LoL,2016-04-14 11:06:00.000000,1.935,1.779,OMG,Energy Pacemaker.All,FB,LPL Promo,Map1,147293,win2
147336,LoL,2016-04-14 11:06:00.000000,1.605,2.154,OMG,Energy Pacemaker.All,Kills10,LPL Promo,Map1,147293,win1
147543,LoL,2016-04-14 11:54:00.000000,1.449,2.459,OMG,Energy Pacemaker.All,GameResult,LPL Promo,Map2,147293,win1
147544,LoL,2016-04-14 11:54:00.000000,1.886,1.831,OMG,Energy Pacemaker.All,FB,LPL Promo,Map2,147293,win1
147545,LoL,2016-04-14 11:54:00.000000,1.536,2.272,OMG,Energy Pacemaker.All,Kills10,LPL Promo,Map2,147293,win1
147557,LoL,2016-04-14 12:40:00.000000,1.365,2.704,OMG,Energy Pacemaker.All,GameResult,LPL Promo,Map3,147293,win1
147558,LoL,2016-04-14 12:40:00.000000,1.698,2.026,OMG,Energy Pacemaker.All,FB,LPL Promo,Map3,147293,win1
147559,LoL,2016-04-14 12:40:00.000000,1.448,2.464,OMG,Energy Pacemaker.All,Kills10,LPL Promo,Map3,147293,win1
147310,Dota2,2016-04-14 10:23:00.000000,1.977,1.740,LGD,Vega Squadron,Total,SL i-League,NA,147310,win1
147311,Dota2,2016-04-14 10:23:00.000000,1.949,1.767,LGD,Vega Squadron,GameResult,SL i-League,Map1,147310,win1
147312,Dota2,2016-04-14 10:23:00.000000,1.911,1.804,LGD,Vega Squadron,FB,SL i-League,Map1,147310,win1
147313,Dota2,2016-04-14 10:23:00.000000,1.942,1.773,LGD,Vega Squadron,Kills10,SL i-League,Map1,147310,win2
147351,Dota2,2016-04-14 10:23:00.000000,1.497,2.350,LGD,Vega Squadron,Dire will take 1st roshan on map 1,SL i-League,Radiant will take 1st roshan on map 1,147310,win1
147352,Dota2,2016-04-14 10:23:00.000000,1.418,2.542,LGD,Vega Squadron,Total kills Over 36.5 on map 1,SL i-League,Total kills Under 36.5 on map 1,147310,win1
147353,Dota2,2016-04-14 10:23:00.000000,2.518,1.427,LGD,Vega Squadron,Total kills Over 50.5 on map 1,SL i-League,Total kills Under 50.5 on map 1,147310,win1
147354,Dota2,2016-04-14 10:23:00.000000,1.841,1.877,LGD,Vega Squadron,Total time Over 40 minutes on map 1,SL i-League,Total time Under 40 minutes on map 1,147310,win1
147533,Dota2,2016-04-14 11:56:00.000000,1.860,1.860,LGD,Vega Squadron,GameResult,SL i-League,Map2,147310,win1
147534,Dota2,2016-04-14 11:56:00.000000,1.828,1.888,LGD,Vega Squadron,FB,SL i-League,Map2,147310,win2
147535,Dota2,2016-04-14 11:56:00.000000,1.873,1.845,LGD,Vega Squadron,Kills10,SL i-League,Map2,147310,win1
147536,Dota2,2016-04-14 11:56:00.000000,1.404,2.581,LGD,Vega Squadron,Dire will take 1st roshan on map 2,SL i-League,Radiant will take 1st roshan on map 2,147310,win1
147537,Dota2,2016-04-14 11:56:00.000000,1.329,2.833,LGD,Vega Squadron,Total kills over 36.5 on map 2,SL i-League,Total kills under 36.5 on map 2,147310,win1
147538,Dota2,2016-04-14 11:56:00.000000,2.572,1.407,LGD,Vega Squadron,Total kills over 50.5 on map 2,SL i-League,Total kills under 50.5 on map 2,147310,win2
147539,Dota2,2016-04-14 11:56:00.000000,1.606,2.153,LGD,Vega Squadron,Total time over 40 minutes on map 2,SL i-League,Total time under 40 minutes on map 2,147310,win2
147347,LoL,2016-04-14 08:16:00.000000,1.380,2.654,Master3,Hyper Youth Gaming,Total,LPL Promo,NA,147347,win2
147348,LoL,2016-04-14 08:16:00.000000,1.563,2.223,Master3,Hyper Youth Gaming,GameResult,LPL Promo,Map1,147347,win2
147349,LoL,2016-04-14 08:11:00.000000,1.790,1.925,Master3,Hyper Youth Gaming,FB,LPL Promo,Map1,147347,win1
147350,LoL,2016-04-14 08:11:00.000000,1.609,2.148,Master3,Hyper Youth Gaming,Kills10,LPL Promo,Map1,147347,win2
147513,LoL,2016-04-14 08:57:00.000000,1.603,2.158,Master3,Hyper Youth Gaming,GameResult,LPL Promo,Map2,147347,win2
147514,LoL,2016-04-14 08:57:00.000000,1.799,1.916,Master3,Hyper Youth Gaming,FB,LPL Promo,Map2,147347,win1
147515,LoL,2016-04-14 08:57:00.000000,1.740,1.977,Master3,Hyper Youth Gaming,Kills10,LPL Promo,Map2,147347,win1
147522,LoL,2016-04-14 10:00:00.000000,1.753,1.963,Master3,Hyper Youth Gaming,GameResult,LPL Promo,Map3,147347,win2
147523,LoL,2016-04-14 10:00:00.000000,1.803,1.912,Master3,Hyper Youth Gaming,FB,LPL Promo,Map3,147347,win1
147524,LoL,2016-04-14 10:00:00.000000,1.827,1.889,Master3,Hyper Youth Gaming,Kills10,LPL Promo,Map3,147347,win2
147242,Counter-Strike,2016-04-14 05:29:00.000000,1.025,6.204,Cloud9,Tectonic,Total,CEVO,NA,147242,win1
147294,Counter-Strike,2016-04-14 05:29:00.000000,1.047,5.600,Cloud9,Tectonic,GameResult,CEVO,Map1,147242,win1
147297,Counter-Strike,2016-04-14 05:29:00.000000,1.364,2.706,Cloud9,Tectonic,will win 1st round on map 1,CEVO,will win 1st round on map 1,147242,win1
147299,Counter-Strike,2016-04-14 05:49:00.000000,1.315,2.890,Cloud9,Tectonic,will win 16th round on map 1,CEVO,will win 16th round on map 1,147242,win2
147508,Counter-Strike,2016-04-14 06:11:00.000000,1.046,5.635,Cloud9,Tectonic,GameResult,CEVO,Map2,147242,win1
147509,Counter-Strike,2016-04-14 06:11:00.000000,1.337,2.804,Cloud9,Tectonic,will win 1st round on map 2,CEVO,will win 1st round on map 2,147242,win2
147510,Counter-Strike,2016-04-14 06:35:00.000000,1.370,2.688,Cloud9,Tectonic,will win 16th round on map 2,CEVO,will win 16th round on map 2,147242,win1
147492,Counter-Strike,2016-04-14 05:15:00.000000,1.245,3.233,Nexus,FlawlessGG,Total,Stream me,NA,147492,win1
147493,Counter-Strike,2016-04-14 05:15:00.000000,1.338,2.800,Nexus,FlawlessGG,GameResult,Stream me,Map1,147492,win1
